timestamp,open,high,low,close,adjusted_close,volume,dividend amount,
28-01-2022,300.2,304.1,299.05,303.4,303.4,27670280,0,1
27-01-2022,295.05,302.25,294.25,300,300,17713754,0,1
26-01-2022,291.35,295.8,290.4,295.8,295.8,19857084,0,1
25-01-2022,289.6,292.734,286.55,291.45,291.45,19025329,0,1
24-01-2022,287.75,291.462,287,288.2,288.2,36356190,0,1
21-01-2022,285.9,288.75,285.15,288.75,288.75,16457165,0,1
20-01-2022,289,289.1,286.475,287.3,287.3,15573050,0,1
19-01-2022,289.5,291.25,286.45,287.85,287.85,16181221,0,1
18-01-2022,288.5,291.1,287.5,289.55,289.55,28944074,0,1
17-01-2022,286.8,290.9,286.25,289.45,289.45,15723634,0,1
14-01-2022,290.85,290.85,284.05,285,285,20472873,0,1
13-01-2022,285,289.7,283.4,289.7,289.7,25955230,0,1
12-01-2022,293.5,295.903,289.25,292.25,292.25,23408905,0,1
11-01-2022,294,295.7,292.3,292.3,292.3,31665127,0,1
10-01-2022,288.9,293.7,288.15,292.45,292.45,12200469,0,1
07-01-2022,292,292.094,288.9,289.05,289.05,17895696,0,1
06-01-2022,293.4,297.304,291.95,292.3,292.3,18098387,0,1
05-01-2022,293.15,297.4,292.4,296.7,296.7,15115370,0,1
04-01-2022,292.55,294.15,291.05,293.95,293.95,15645024,0,1
31-12-2021,290.8,290.95,288.8,289.9,289.9,4579428,0,1
30-12-2021,290.75,293.15,290.45,291.25,291.25,5589404,0,1
29-12-2021,288.8,292.35,287.95,291.05,291.05,9098820,0,1
24-12-2021,286.8,288.25,286.506,287.9,287.9,2246590,0,1
23-12-2021,287.55,288.55,286.4,288.35,288.35,5287992,0,1
22-12-2021,288,288.294,285.3,287.55,287.55,22026120,0,1
21-12-2021,288.25,289.65,287,288.5,288.5,22344767,0,1
20-12-2021,282.2,287.7,281.3,287.6,287.6,13973344,0,1
17-12-2021,281.4,286.35,281.2,284.4,284.4,24768645,0,1
16-12-2021,284,284.2,281.3,282.4,282.4,23098284,0,1
15-12-2021,285.7,286.8,282.2,282.2,282.2,35826679,0,1
14-12-2021,286,287.3,283.972,284.75,284.75,18688348,0,1
13-12-2021,284.15,286.25,283.3,285.35,285.35,15169006,0,1
10-12-2021,282.7,285.25,282.5,284.4,284.4,8795690,0,1
09-12-2021,283.8,284.996,282.6,283,283,22018185,0,1
08-12-2021,283.95,286.5,282.4,282.75,282.75,24507100,0,1
07-12-2021,282,284.6,280.861,284.3,284.3,18157765,0,1
06-12-2021,281,281.6,278.75,280.65,280.65,9229342,0,1
03-12-2021,278.9,280.25,277.996,280.1,280.1,11429168,0,1
02-12-2021,276.1,277.9,275.9,277.85,277.85,14079248,0,1
01-12-2021,277.95,281.95,276.55,278.15,278.15,19883670,0,1
30-11-2021,279.6,280.55,274.65,276.75,276.75,45278292,0,1
29-11-2021,280.35,281.7,279,279,279,18946005,0,1
26-11-2021,277.75,280.497,277.15,279.15,279.15,30012027,0,1
25-11-2021,280.5,282.19,279.95,280.35,280.35,7857840,0,1
24-11-2021,279.5,281.6,278.75,280.5,280.5,14512037,0,1
23-11-2021,279.85,283.6,278.813,279.8,279.8,18907665,0,1
22-11-2021,279.55,281.5,278.1,280.9,280.9,11536745,0,1
19-11-2021,279.45,280.55,277.35,278.85,278.85,16817659,0,1
18-11-2021,278.3,280.1,276.9,279.35,279.35,16425756,0,1
17-11-2021,278.8,280.35,276.671,277.85,277.85,15903590,0,1
16-11-2021,285.3,286.1,280.3,280.65,280.65,31975612,0,1
15-11-2021,284,286.25,283.05,285.9,285.9,12569645,0,1
12-11-2021,284.05,285.426,283.4,285,285,14818227,0,1
11-11-2021,284.95,284.95,281.4,283.7,283.7,11864636,0,1
10-11-2021,278.65,287.4,278.603,284.95,284.95,28808357,0,1
09-11-2021,274.65,279.7,274.1,278.5,278.5,73070662,0,1
08-11-2021,274.7,278.85,274.313,274.85,274.85,16702245,0,1
05-11-2021,275.8,279.3,275.35,275.35,275.35,10284665,0,1
04-11-2021,273.7,277.3,273.65,275.6,275.6,12111854,0,1
03-11-2021,272,274.05,270.9,273.55,273.55,9497167,0,1
02-11-2021,272.45,273.083,271.2,272,272,28505501,0,1
01-11-2021,270.9,272.35,268.35,271.95,271.95,19948639,0,1
29-10-2021,268.8,271.25,268.1,269.9,269.9,17637504,0,1
28-10-2021,272.65,273.791,269.6,269.6,269.6,14850562,0,1
27-10-2021,274.4,282.95,270.779,271.55,271.55,13101935,0,1
26-10-2021,273.7,274.95,273.05,273.9,273.9,13180146,0,1
25-10-2021,271.6,274.3,271.05,273.7,273.7,11723177,0,1
22-10-2021,270.15,272,269.4,270.75,270.75,9969625,0,1
21-10-2021,272.4,273.207,269.524,270.7,270.7,19822601,0,1
20-10-2021,274.65,276.364,272.15,272.15,272.15,13165659,0,1
19-10-2021,270.35,274.5,269.9,274.25,274.25,16105666,0,1
18-10-2021,268,271.35,267.35,269.5,269.5,14269641,0,1
15-10-2021,267,269.6,265.9,267.9,267.9,13415831,0,1
14-10-2021,268,268.169,264.7,266,266,12996859,3.2,1
13-10-2021,270,270.765,267.498,269.35,266.15,16425152,0,1
12-10-2021,268.05,270.1,266.78,270.1,266.8911,13647122,0,1
11-10-2021,275.25,276,268.2,270.35,267.1381,20067218,0,1
08-10-2021,273.05,276.95,272.15,275.6,275.5673,40768158,0,1
07-10-2021,271.8,274.9,268.65,273.15,273.1175,20985604,0,1
06-10-2021,260,272.5896,259.9,268.05,268.0182,32813131,0,1
05-10-2021,252.25,254,251.7,253,252.9699,25866422,0,1
04-10-2021,248.7,254.1,247.5,251.65,251.6201,13658855,0,1
01-10-2021,251.2,251.6,246.6,247.95,247.9205,20835249,0,1
30-09-2021,258,258.7,252.8,253.3,253.2699,20714943,0,1
29-09-2021,256.95,258.9,256.1,256.5,256.4695,17151506,0,1
28-09-2021,256.9,259,254.4,256.35,256.3195,11767087,0,1
27-09-2021,258.9,260.05,257.1,257.9,257.8694,16340200,0,1
24-09-2021,260.1,260.5,257.5,257.5,257.4694,10761254,0,1
23-09-2021,263.5,264.5208,259.5,259.55,259.5192,14068675,0,1
22-09-2021,258.75,261.65,258.05,261.65,261.6189,14399548,0,1
21-09-2021,255.55,257.85,254.75,257.2,257.1694,17581587,0,1
20-09-2021,254.85,255.7511,252.05,254.45,254.4198,11916244,0,1
17-09-2021,258.4,259.75,255.5,255.95,255.9196,23883605,0,1
16-09-2021,255.7,257.65,255.7,257.15,257.1194,9529112,0,1
15-09-2021,255.7,256.2115,254.5,254.7,254.6697,16490755,0,1
14-09-2021,255.95,257.5,254.75,255.8,255.7696,9366549,0,1
13-09-2021,255.6,257.5,254.35,256.2,256.1696,6845632,0,1
10-09-2021,255.8,256.25,248.8,254.4,254.3698,8243258,0,1
09-09-2021,256,256.455,253.9,254.65,254.6197,21084297,0,1
08-09-2021,258.05,258.25,255.85,257,256.9695,10055328,0,1
